Date,Crude_price_per_barrel,Stocks_per_thousand_barrels,No_of_days,Utilization_percentage,Exp_thousand_barrels_per_day,Imp_thousand_barrels_per_day,Gas_price_date,Gas_price_per_gallon
03/25/2022,113.69,18971,27.3,92.1,2988,6259,03/28/2022,4.152
03/18/2022,100.43,18344,27.0,91.1,3844,6486,03/21/2022,4.165
03/11/2022,113.39,17123,27.3,90.4,2936,6395,03/14/2022,4.252
02/25/2022,92.18,17714,28.0,87.7,3796,5767,02/28/2022,3.554
02/18/2022,92.89,17624,28.5,87.4,2686,6828,02/21/2022,3.48
02/11/2022,90.61,17746,28.7,85.3,2271,5790,02/14/2022,3.441
01/28/2022,86.94,18979,30.4,86.7,2376,7085,01/31/2022,3.321
01/21/2022,85.93,19797,30.2,87.7,2796,6236,01/24/2022,3.271
01/14/2022,81.52,19732,29.0,88.1,2610,6745,01/17/2022,3.255
12/31/2021,76.05,16986,25.6,89.8,2554,5884,01/03/2022,3.216
12/24/2021,71.63,17621,24.0,89.7,2929,6759,12/27/2021,3.211
12/17/2021,71.18,18992,24.8,89.6,2879,6194,12/20/2021,3.229
12/10/2021,71.31,17631,23.9,89.8,3645,6471,12/13/2021,3.252
11/26/2021,77.79,18884,23.5,88.8,2704,6604,11/29/2021,3.326
11/19/2021,78.99,17905,22.6,88.6,2605,6436,11/22/2021,3.344
11/12/2021,81.93,16585,22.7,87.9,3626,6191,11/15/2021,3.349
10/29/2021,83.84,16841,22.8,86.3,2925,6172,11/01/2021,3.352
10/22/2021,83.48,16675,23.0,85.1,2787,6254,10/25/2021,3.351
10/15/2021,81.18,16659,23.1,84.7,3060,5825,10/18/2021,3.297
09/24/2021,72.18,19423,24.1,88.1,3020,6552,09/27/2021,3.155
09/17/2021,71.69,20304,24.0,87.5,2809,6465,09/20/2021,3.169
09/10/2021,68.98,17435,23.2,82.1,2624,5761,09/13/2021,3.143
08/27/2021,67.59,19408,24.0,91.3,3040,6340,08/30/2021,3.118
08/20/2021,65.05,18197,23.7,92.4,2812,6157,08/23/2021,3.125
08/13/2021,68.33,19349,24.1,92.2,3431,6350,08/16/2021,3.155
07/30/2021,72.75,17742,24.3,91.3,1904,6432,08/02/2021,3.134
07/23/2021,69.68,18055,24.7,91.1,2489,6507,07/26/2021,3.118
07/16/2021,73.19,18446,25.0,91.4,2463,7097,07/19/2021,3.135
06/25/2021,73.48,21647,26.5,92.9,3717,6406,06/28/2021,3.062
06/18/2021,71.55,20827,26.4,92.2,3651,6943,06/21/2021,3.033
06/11/2021,70.11,20370,26.7,92.6,3884,6746,06/14/2021,3.041
05/28/2021,66.4,19666,25.5,88.7,2544,5631,05/31/2021,2.997
05/21/2021,64.11,19360,25.6,87.0,3433,6273,05/24/2021,2.99
05/14/2021,65.07,20812,26.2,86.3,3306,6411,05/17/2021,2.996
04/30/2021,63.47,21245,26.4,86.5,4122,5451,05/03/2021,2.859
04/23/2021,62.18,21464,26.3,85.4,2541,6616,04/26/2021,2.844
04/16/2021,61.93,19738,26.3,85.0,2548,5405,04/19/2021,2.836
03/26/2021,59.95,19995,26.6,83.9,3174,6145,03/29/2021,2.839
03/19/2021,63.22,19765,27.4,81.6,2481,5622,03/22/2021,2.849
03/12/2021,65.02,20899,28.5,76.1,2520,5323,03/15/2021,2.832
02/26/2021,62.3,22482,30.8,56.0,2351,6292,03/01/2021,2.689
02/19/2021,60.17,24437,32.9,68.6,2314,4599,02/22/2021,2.613
02/12/2021,58.54,24016,32.3,83.1,3862,5898,02/15/2021,2.475
01/29/2021,52.52,22702,32.3,82.3,3483,6507,02/01/2021,2.382
01/22/2021,52.82,23138,32.0,81.7,3355,5064,01/25/2021,2.363
01/15/2021,52.75,22438,31.4,82.5,2251,6045,01/18/2021,2.351
12/25/2020,47.73,27353,29.8,79.4,3625,5326,12/28/2020,2.225
12/18/2020,47.97,25667,30.1,78.0,3099,5564,12/21/2020,2.204
12/11/2020,46.04,24518,30.2,79.1,2627,5424,12/14/2020,2.132
11/27/2020,44.4,26076,28.2,78.2,3456,5399,11/30/2020,2.093
11/20/2020,41.52,26203,27.5,78.7,2831,5228,11/23/2020,2.08
11/13/2020,40.66,26412,26.9,77.4,2748,5254,11/16/2020,2.089
10/30/2020,37.32,25407,27.0,75.3,2265,5029,11/02/2020,2.092
10/23/2020,40.43,24524,26.4,74.6,3460,5664,10/26/2020,2.124
10/16/2020,40.33,23612,26.5,72.9,3036,5118,10/19/2020,2.134
09/25/2020,39.78,24171,26.9,75.8,3512,5122,09/28/2020,2.157
09/18/2020,39.55,25247,26.6,74.8,3022,5168,09/21/2020,2.149
09/11/2020,37.38,23730,26.6,75.8,2595,5008,09/14/2020,2.162
08/28/2020,42.93,24862,26.5,76.7,3002,4900,08/31/2020,2.204
08/21/2020,42.73,23036,27.1,82.0,3363,5916,08/24/2020,2.161
08/14/2020,42.08,24173,27.9,80.9,2137,5730,08/17/2020,2.147
07/31/2020,40.69,23538,28.6,79.6,2819,6010,08/03/2020,2.156
07/24/2020,41.34,23647,28.5,79.5,3211,5146,07/27/2020,2.155
07/17/2020,40.57,23438,28.6,77.9,2993,5941,07/20/2020,2.168
07/10/2020,40.44,22883,28.7,78.1,2543,5567,07/13/2020,2.181
06/26/2020,39.22,23684,31.2,75.5,3092,5969,06/29/2020,2.162
06/19/2020,38.35,24470,32.0,74.6,3157,6540,06/22/2020,2.115
06/12/2020,37.87,24713,33.6,73.8,2462,6642,06/15/2020,2.084
05/29/2020,34.19,24141,35.6,71.8,2794,6179,06/01/2020,1.952
05/22/2020,33.1,22944,36.3,71.3,3176,7200,05/25/2020,1.938
05/15/2020,26.4,24469,38.3,69.4,3239,5197,05/18/2020,1.845
04/24/2020,3.32,24510,48.7,69.6,3302,5302,04/27/2020,1.731
04/17/2020,20.12,24008,47.6,67.6,2890,4937,04/20/2020,1.77
04/10/2020,24.41,22527,40.9,69.1,3436,5680,04/13/2020,1.811
03/27/2020,19.44,21284,28.5,82.3,3155,6047,03/30/2020,1.962
03/20/2020,24.19,20069,25.8,87.3,3850,6117,03/23/2020,2.083
03/13/2020,32.39,23726,25.8,86.4,4378,6539,03/16/2020,2.213
02/28/2020,48.36,25956,28.1,86.9,4154,6238,03/02/2020,2.394
02/21/2020,53.14,26711,28.8,87.9,3657,6217,02/24/2020,2.441
02/14/2020,50.83,26915,29.3,89.4,3564,6547,02/17/2020,2.405
01/31/2020,52.69,27776,29.9,87.4,3413,6615,02/03/2020,2.428
01/24/2020,56.15,27467,30.6,87.2,3509,6660,01/27/2020,2.482
01/17/2020,58.29,28671,30.3,90.5,3414,6432,01/20/2020,2.516
01/10/2020,60.84,27351,29.6,92.2,3481,6552,01/13/2020,2.549
12/27/2019,61.29,26181,26.5,94.5,4462,6352,12/30/2019,2.555
12/20/2019,60.75,24759,26.1,93.3,3397,6809,12/23/2019,2.516
12/13/2019,59.25,23582,26.0,90.6,3633,6579,12/16/2019,2.518
11/29/2019,58.07,24613,25.0,91.9,3135,5989,12/02/2019,2.554
11/22/2019,56.9,24092,24.5,89.3,3480,6190,11/25/2019,2.539
11/15/2019,56.85,23054,23.6,89.5,3027,5972,11/18/2019,2.544
10/25/2019,55.2,22048,23.0,87.7,3327,6697,10/28/2019,2.539
10/18/2019,53.49,22796,23.8,85.2,3683,5857,10/21/2019,2.581
10/11/2019,53.27,22966,24.3,83.1,3248,6295,10/14/2019,2.565
09/27/2019,56.9,23415,24.7,86.4,2867,6291,09/30/2019,2.586
09/20/2019,59.33,22549,24.5,89.8,2983,6378,09/23/2019,2.627
09/13/2019,56.16,21873,24.1,91.2,3175,7050,09/16/2019,2.521
08/30/2019,55.21,22223,23.6,94.8,3061,6904,09/02/2019,2.527
08/23/2019,55.5,22267,23.7,95.2,3019,5928,08/26/2019,2.538
08/16/2019,55.31,21755,24.2,95.9,2803,7218,08/19/2019,2.567
07/26/2019,56.05,22580,24.2,93.0,2574,6663,07/29/2019,2.68
07/19/2019,56.74,21841,24.4,93.1,3292,7028,07/22/2019,2.716
07/12/2019,59.02,22697,24.5,94.4,2534,6832,07/15/2019,2.745
06/28/2019,58.38,22332,23.8,94.2,2990,7585,07/01/2019,2.674
06/21/2019,54.75,22710,24.0,94.2,3770,6656,06/24/2019,2.608
06/14/2019,52.52,21895,24.1,93.9,3422,7467,06/17/2019,2.621
05/31/2019,56.93,23246,25.0,91.8,3298,7927,06/03/2019,2.757
05/24/2019,60.72,22829,24.4,91.2,3317,6862,05/27/2019,2.762
05/17/2019,62.1,22923,24.3,89.9,2922,6943,05/20/2019,2.789
05/10/2019,61.81,21330,23.9,90.5,3347,7612,05/13/2019,2.8
04/26/2019,65.28,21325,24.0,89.2,2611,7414,04/29/2019,2.824
04/19/2019,63.8,20682,23.9,90.1,2681,7149,04/22/2019,2.785
04/12/2019,64.1,20754,24.3,87.7,2401,5992,04/15/2019,2.785
03/29/2019,59.49,21933,25.7,86.4,2723,6763,04/01/2019,2.67
03/22/2019,59.44,21412,26.0,86.6,2886,6540,03/25/2019,2.604
03/15/2019,57.81,22327,26.4,88.9,3392,6932,03/18/2019,2.537
02/22/2019,56.74,25310,28.7,87.1,3359,5917,02/25/2019,2.372
02/15/2019,53.88,26867,28.5,85.9,3607,7522,02/18/2019,2.293
01/25/2019,52.88,26998,28.8,90.1,1944,7083,01/28/2019,2.229
01/18/2019,51.92,28813,29.8,92.9,2035,8191,01/21/2019,2.216
01/11/2019,50.78,27391,29.0,94.6,2966,7527,01/14/2019,2.212
12/28/2018,45.22,25914,26.5,97.2,2237,7392,12/31/2018,2.227
12/21/2018,46.98,25568,25.5,95.1,2969,7656,12/24/2018,2.287
12/14/2018,51.54,25592,25.3,95.4,2325,7423,12/17/2018,2.338
11/30/2018,51.01,23206,24.8,95.5,3203,7219,12/03/2018,2.422
11/23/2018,54.99,24614,24.5,95.6,2442,8162,11/26/2018,2.517
11/16/2018,56.92,25114,24.5,92.7,1969,7554,11/19/2018,2.594
10/26/2018,67.43,24219,24.6,89.4,2485,7344,10/29/2018,2.799
10/19/2018,70.24,23209,25.0,89.2,2180,7678,10/22/2018,2.828
10/12/2018,72.96,24684,25.8,88.8,1782,7615,10/15/2018,2.869
09/28/2018,72.84,25440,25.2,90.4,1723,7965,10/01/2018,2.859
09/21/2018,70.28,24523,24.9,90.4,2640,7802,09/24/2018,2.841
09/14/2018,68.96,24862,24.1,95.4,2367,8024,09/17/2018,2.834
08/31/2018,69.66,23046,24.3,96.6,1508,7714,09/03/2018,2.822
08/24/2018,68.1,22329,24.4,96.3,1779,7485,08/27/2018,2.824
08/17/2018,66.15,23933,24.5,98.1,1155,7518,08/20/2018,2.818
08/10/2018,67.9,23162,24.2,98.1,1592,9014,08/13/2018,2.836
07/27/2018,70.01,23364,23.9,96.1,1310,7749,07/30/2018,2.834
07/20/2018,68.95,22628,24.1,93.8,2683,7770,07/23/2018,2.818
07/13/2018,71.96,24237,24.4,94.3,1461,9066,07/16/2018,2.852
06/29/2018,74.03,23400,24.7,97.1,2336,9055,07/02/2018,2.824
06/22/2018,66.32,23636,25.4,97.5,3000,8356,06/25/2018,2.808
06/15/2018,66.21,24983,25.4,96.7,2374,8242,06/18/2018,2.852
05/25/2018,70.98,22786,24.2,93.9,2179,7631,05/28/2018,2.937
05/18/2018,71.3,22015,24.6,91.8,1748,8159,05/21/2018,2.893
05/11/2018,70.56,21907,24.8,91.1,2566,7601,05/14/2018,2.846
04/27/2018,67.91,23750,25.5,91.1,2148,8549,04/30/2018,2.858
04/20/2018,67.55,23304,25.3,90.8,2331,8469,04/23/2018,2.814
04/13/2018,66.02,23168,25.1,92.4,1749,7930,04/16/2018,2.762
03/30/2018,64.97,24259,25.5,93.0,2175,7898,04/02/2018,2.71
03/23/2018,64.11,24577,25.6,92.3,1578,8148,03/26/2018,2.659
03/16/2018,61.28,24533,26.2,91.7,1573,7077,03/19/2018,2.612
02/23/2018,62.47,25921,28.0,87.8,1445,7282,02/26/2018,2.561
02/16/2018,60.56,25891,27.5,88.1,2044,7021,02/19/2018,2.576
01/26/2018,65.14,23449,27.5,88.1,1765,8430,01/29/2018,2.634
01/19/2018,63.77,24019,28.0,90.9,1411,8041,01/22/2018,2.601
01/12/2018,63.26,25124,27.1,93.0,1249,7950,01/15/2018,2.589
12/29/2017,59.88,24987,25.4,96.7,1475,7966,01/01/2018,2.554
12/22/2017,57.87,24346,24.8,95.7,1210,7993,12/25/2017,2.502
12/15/2017,57.17,24988,25.2,94.1,1858,7834,12/18/2017,2.478
11/24/2017,57.47,23862,23.2,92.6,1412,7329,11/27/2017,2.562
11/17/2017,55.81,21810,22.3,91.3,1591,7873,11/20/2017,2.597
11/10/2017,57.05,21143,22.5,91.0,1129,7898,11/13/2017,2.619
10/27/2017,52.51,21882,22.8,88.1,2133,7571,10/30/2017,2.526
10/20/2017,51.74,22083,23.3,87.8,1924,8123,10/23/2017,2.523
10/13/2017,50.77,23816,23.8,84.5,1798,7483,10/16/2017,2.532
09/29/2017,51.77,21995,23.2,88.1,1984,7214,10/02/2017,2.614
09/22/2017,50.12,21286,23.0,88.6,1491,7427,09/25/2017,2.629
09/15/2017,49.07,22760,22.7,83.2,928,7368,09/18/2017,2.678
08/25/2017,47.68,24850,23.7,96.6,902,7905,08/28/2017,2.438
08/18/2017,47.52,24625,23.7,95.4,936,8790,08/21/2017,2.389
08/11/2017,49.08,22846,23.7,96.1,877,8126,08/14/2017,2.416
07/28/2017,48.27,22834,23.3,95.4,702,8253,07/31/2017,2.386
07/21/2017,46.41,23173,23.7,94.3,1030,8044,07/24/2017,2.34
07/14/2017,45.51,23228,23.9,94.0,728,7996,07/17/2017,2.303
06/30/2017,44.63,22299,24.8,93.6,768,7742,07/03/2017,2.278
06/23/2017,43.09,22599,25.4,92.5,528,8016,06/26/2017,2.316
06/16/2017,45.3,21280,25.3,94.0,517,7876,06/19/2017,2.339
05/26/2017,50.21,21560,24.7,95.0,1303,7985,05/29/2017,2.418
05/19/2017,49.24,21665,25.4,93.5,625,8294,05/22/2017,2.418
05/12/2017,47.04,21905,25.9,93.4,1086,8590,05/15/2017,2.396
04/28/2017,49.12,21220,26.2,93.3,538,8264,05/01/2017,2.444
04/21/2017,51.09,21596,26.1,94.1,1152,8912,04/24/2017,2.484
04/14/2017,53.19,21507,25.5,92.9,565,7810,04/17/2017,2.468
03/31/2017,49.14,22031,25.7,90.8,575,7850,04/03/2017,2.393
03/24/2017,47.28,23917,25.7,89.3,1010,8224,03/27/2017,2.341
03/17/2017,48.03,24591,26.7,87.4,550,8307,03/20/2017,2.35
03/10/2017,50.5,24684,27.5,85.1,717,7405,03/13/2017,2.353
02/24/2017,54.03,27303,29.5,86.0,721,7589,02/27/2017,2.346
02/17/2017,53.22,27939,29.9,84.3,1211,7286,02/20/2017,2.336
02/10/2017,52.88,28453,30.7,85.4,1026,8491,02/13/2017,2.34
01/27/2017,52.74,27929,31.3,88.2,549,8290,01/30/2017,2.337
01/20/2017,51.82,28651,30.7,88.3,599,7810,01/23/2017,2.368
01/13/2017,52.07,29007,28.8,90.7,704,8378,01/16/2017,2.407
12/30/2016,53.6,27225,26.2,92.0,686,7183,01/02/2017,2.429
12/23/2016,51.95,27122,25.1,91.0,627,8167,12/26/2016,2.364
12/16/2016,51.91,26288,25.4,91.5,557,8471,12/19/2016,2.316
11/25/2016,47.25,24354,24.7,89.8,474,7548,11/28/2016,2.193
11/18/2016,45.15,23956,24.4,90.8,469,7578,11/21/2016,2.192
11/11/2016,44.61,24968,24.1,89.2,481,8423,11/14/2016,2.22
10/28/2016,49.36,24615,24.6,85.2,404,8995,10/31/2016,2.27
10/21/2016,50.56,25494,24.7,85.6,415,7016,10/24/2016,2.286
10/14/2016,50.29,25949,25.1,85.0,439,6907,10/17/2016,2.309
09/30/2016,46.55,25301,24.4,88.3,440,7710,10/03/2016,2.295
09/23/2016,44.59,25415,24.2,90.1,507,7835,09/26/2016,2.276
09/16/2016,44.34,24180,23.6,92.0,588,8309,09/19/2016,2.28
08/26/2016,47.05,25957,24.0,92.8,698,8917,08/29/2016,2.292
08/19/2016,47.16,25897,23.9,92.5,677,8642,08/22/2016,2.243
08/12/2016,43.11,25746,23.8,93.5,677,8193,08/15/2016,2.203
07/29/2016,41.83,24526,24.4,93.3,677,8738,08/01/2016,2.198
07/22/2016,44.44,25649,24.8,92.4,677,8437,07/25/2016,2.211
07/15/2016,45.6,26285,24.8,93.2,598,8134,07/18/2016,2.254
06/24/2016,48.71,25167,24.6,93.0,598,7555,06/27/2016,2.353
06/17/2016,47.89,25016,24.5,91.3,489,8439,06/20/2016,2.393
06/10/2016,50.18,23569,24.6,90.2,489,7622,06/13/2016,2.444
05/27/2016,48.72,23456,24.7,89.8,489,7839,05/30/2016,2.382
05/20/2016,47.99,24339,25.0,89.7,390,7315,05/23/2016,2.339
05/13/2016,45.44,24305,24.9,90.5,390,7677,05/16/2016,2.274
04/29/2016,44.3,24876,25.5,89.7,390,7660,05/02/2016,2.271
04/22/2016,41.86,24412,25.7,88.1,390,7550,04/25/2016,2.182
04/15/2016,41.23,24825,25.5,89.4,339,8187,04/18/2016,2.155
03/25/2016,39.45,26139,25.8,90.4,387,7748,03/28/2016,2.079
03/18/2016,38.32,27011,26.1,88.4,387,8384,03/21/2016,2.036
03/11/2016,37.69,27652,26.6,89.0,387,7693,03/14/2016,1.988
02/26/2016,31.32,27618,27.6,88.3,387,8292,02/29/2016,1.817
02/19/2016,30.02,28182,28.3,87.3,399,7802,02/22/2016,1.767
02/12/2016,28.14,27878,29.1,88.3,399,7919,02/15/2016,1.747
01/29/2016,31.81,27463,29.2,86.6,399,8256,02/01/2016,1.837
01/22/2016,29.19,27696,28.7,87.4,399,7609,01/25/2016,1.859
01/15/2016,30.59,27508,27.9,90.6,500,7779,01/18/2016,1.917
12/25/2015,36.26,27161,23.8,92.6,500,7892,12/28/2015,2.039
12/18/2015,35.78,26119,23.8,91.3,500,7326,12/21/2015,2.035
12/11/2015,36.93,28165,23.8,91.9,445,8312,12/14/2015,2.059
11/27/2015,40.49,27878,23.7,94.5,445,7747,11/30/2015,2.079
11/20/2015,40.62,28842,23.7,92.0,445,7333,11/23/2015,2.117
11/13/2015,42.7,28233,23.2,90.3,504,6968,11/16/2015,2.21
10/30/2015,44.99,27467,23.4,88.7,504,6943,11/02/2015,2.265
10/23/2015,45.16,28011,23.9,87.6,504,7032,10/26/2015,2.262
10/16/2015,46.82,28205,24.2,86.4,526,7471,10/19/2015,2.314
09/25/2015,45.57,28260,24.5,89.8,526,7554,09/28/2015,2.34
09/18/2015,45.48,26714,23.9,90.9,477,7176,09/21/2015,2.332
09/11/2015,45.16,26772,23.7,93.1,477,7189,09/14/2015,2.374
08/28/2015,40.73,26339,22.5,92.8,477,7855,08/31/2015,2.496
08/21/2015,41.34,26475,22.4,94.5,477,7199,08/24/2015,2.62
08/14/2015,43.2,25072,22.2,95.1,576,8038,08/17/2015,2.691
07/31/2015,47.91,24899,22.7,96.1,576,7180,08/03/2015,2.641
07/24/2015,49.21,25687,22.7,95.1,571,7545,07/27/2015,2.69
07/17/2015,51.68,25670,22.5,95.5,571,7941,07/20/2015,2.744
07/10/2015,52.38,25399,22.8,95.3,571,7354,07/13/2015,2.778
06/26/2015,60.01,25743,22.7,95.0,571,7513,06/29/2015,2.796
06/19/2015,59.89,25880,23.4,94.0,571,6765,06/22/2015,2.803
06/12/2015,60.07,26338,23.2,93.1,441,7067,06/15/2015,2.825
05/29/2015,58.19,25780,23.7,93.2,441,7373,06/01/2015,2.738
05/22/2015,58.95,25088,23.9,93.6,441,6696,05/25/2015,2.724
05/15/2015,60.01,24829,24.8,92.4,467,7199,05/18/2015,2.687
04/24/2015,56.14,26813,25.5,91.3,467,7446,04/27/2015,2.536
04/17/2015,54.78,26735,25.0,91.2,503,7765,04/20/2015,2.477
04/10/2015,51.78,26137,25.6,92.3,503,7148,04/13/2015,2.402
03/27/2015,48.68,27242,25.6,89.4,503,7348,03/30/2015,2.43
03/20/2015,44.39,28758,26.7,89.0,503,7392,03/23/2015,2.427
03/13/2015,47.69,29693,26.7,88.1,478,7496,03/16/2015,2.42
02/27/2015,49.16,31072,27.7,86.6,478,7368,03/02/2015,2.441
02/20/2015,51.69,29351,27.9,87.4,478,7279,02/23/2015,2.338
02/13/2015,51.14,28781,28.1,88.7,502,7105,02/16/2015,2.29
01/30/2015,45.32,29828,27.4,89.9,502,7387,02/02/2015,2.097
01/23/2015,46.46,28730,26.8,88.0,502,7422,01/26/2015,2.069
01/16/2015,47.07,30471,26.7,85.5,388,7218,01/19/2015,2.089
12/26/2014,55.58,31538,24.7,94.4,388,7061,12/29/2014,2.32
12/19/2014,55.89,29843,24.5,93.5,388,8292,12/22/2014,2.43
12/12/2014,61.14,29443,24.3,93.5,374,7104,12/15/2014,2.586
11/28/2014,72.36,27252,22.6,93.4,374,7303,12/01/2014,2.821
11/21/2014,75.38,28216,22.6,91.5,374,7473,11/24/2014,2.864
11/14/2014,76.5,27673,22.6,91.2,411,7638,11/17/2014,2.938
10/31/2014,81.29,27169,22.5,88.4,411,6675,11/03/2014,3.037
10/24/2014,82.12,26272,23.0,86.6,411,7101,10/27/2014,3.094
10/17/2014,82.88,27184,23.2,86.7,420,7477,10/20/2014,3.154
10/10/2014,87.63,26399,23.4,88.1,420,7740,10/13/2014,3.229
09/26/2014,93.15,28957,24.0,89.8,420,7284,09/29/2014,3.384
09/19/2014,93.52,28753,23.6,93.4,385,6870,09/22/2014,3.375
09/12/2014,92.43,28569,23.5,93.0,385,8114,09/15/2014,3.428
08/29/2014,96.25,27479,23.2,93.3,385,7675,09/01/2014,3.486
08/22/2014,94.95,29049,23.5,93.5,385,7633,08/25/2014,3.473
08/15/2014,97.17,28475,23.7,93.4,295,7459,08/18/2014,3.484
07/25/2014,104.35,28666,24.4,93.5,295,7744,07/28/2014,3.544
07/18/2014,102.37,29674,24.2,93.8,273,7407,07/21/2014,3.599
07/11/2014,103.25,28277,23.9,93.8,273,7427,07/14/2014,3.635
06/27/2014,106.69,28976,23.8,91.4,273,7265,06/30/2014,3.708
06/20/2014,107.23,29046,24.0,88.5,273,7341,06/23/2014,3.713
06/13/2014,105.97,29801,23.6,87.1,74,7234,06/16/2014,3.694
05/30/2014,103.95,29115,23.0,90.8,74,7123,06/02/2014,3.699
05/23/2014,103.82,28741,23.3,89.9,74,7809,05/26/2014,3.683
05/16/2014,101.92,29770,23.9,88.7,71,6469,05/19/2014,3.671
04/25/2014,102.11,29208,24.4,91.0,71,7483,04/28/2014,3.71
04/18/2014,103.95,32282,24.2,91.0,67,7796,04/21/2014,3.687
04/11/2014,102.72,32345,23.8,88.8,67,8271,04/14/2014,3.655
03/28/2014,100.66,34171,24.5,87.7,67,6831,03/31/2014,3.592
03/21/2014,99.77,35066,24.9,86.0,64,7617,03/24/2014,3.559
03/14/2014,99.55,38958,25.8,85.6,64,7309,03/17/2014,3.56
02/28/2014,102.77,38976,27.5,87.4,64,7112,03/03/2014,3.494
02/21/2014,102.93,38573,27.7,88.0,64,7037,02/24/2014,3.469
02/14/2014,100.21,41427,28.0,86.8,61,7421,02/17/2014,3.402
01/31/2014,97.29,40394,28.4,86.1,61,6887,02/03/2014,3.322
01/24/2014,96.19,41699,28.5,88.2,61,8048,01/27/2014,3.32
01/17/2014,92.98,41072,28.3,86.5,58,7544,01/20/2014,3.319
01/10/2014,92.42,41263,27.1,90.0,58,6889,01/13/2014,3.345
12/27/2013,99.15,40062,24.9,92.4,58,7495,12/30/2013,3.34
12/20/2013,97.85,42195,24.8,92.7,58,7535,12/23/2013,3.277
12/13/2013,97.23,41493,25.1,91.5,57,7732,12/16/2013,3.245
11/29/2013,92.97,39283,23.8,92.4,57,7809,12/02/2013,3.29
11/22/2013,93.92,40704,23.3,89.4,57,7718,11/25/2013,3.32
11/15/2013,93.94,39517,23.0,88.6,56,7863,11/18/2013,3.239
10/25/2013,97.57,47635,23.9,87.3,56,7459,10/28/2013,3.311
10/18/2013,101.51,47367,24.5,85.9,56,7656,10/21/2013,3.382
10/11/2013,102.7,47525,24.6,86.2,56,8004,10/14/2013,3.368
09/27/2013,103.1,47733,25.1,89.0,56,8363,09/30/2013,3.425
09/20/2013,106.22,47279,24.3,90.3,56,7925,09/23/2013,3.493
09/13/2013,108.36,48341,24.2,92.5,55,7578,09/16/2013,3.544
08/30/2013,108.33,47996,23.7,91.7,55,8255,09/02/2013,3.641
08/23/2013,105.48,50082,23.8,91.2,55,8374,08/26/2013,3.573
08/16/2013,106.97,49474,23.8,91.0,55,7951,08/19/2013,3.565
07/26/2013,105.88,51222,24.7,91.3,52,8168,07/29/2013,3.638
07/19/2013,106.88,50355,24.5,92.3,52,8032,07/22/2013,3.678
07/12/2013,104.7,50280,24.8,92.8,50,7705,07/15/2013,3.634
06/28/2013,95.83,49285,25.1,92.2,50,7407,07/01/2013,3.478
06/21/2013,96.65,50484,25.6,90.2,50,8298,06/24/2013,3.563
06/14/2013,96.36,50473,25.1,89.3,48,8436,06/17/2013,3.636
05/31/2013,93.32,48060,25.1,88.4,48,7268,06/03/2013,3.664
05/24/2013,94.76,46532,25.4,86.4,48,7817,05/27/2013,3.656
05/17/2013,94.65,48187,26.0,87.3,48,8130,05/20/2013,3.687
05/10/2013,95.84,47316,25.6,88.0,47,7623,05/13/2013,3.601
04/26/2013,91.0,48233,25.4,84.4,47,8166,04/29/2013,3.519
04/19/2013,88.0,48948,25.5,83.5,47,7564,04/22/2013,3.536
04/12/2013,93.36,50569,26.3,86.3,45,7431,04/15/2013,3.535
